question_id,question,type,category
Q01,Was glucose above 180 mg/dL at any time during the afternoon?,yes_no,other
Q02,Did glucose fall below 70 mg/dL overnight?,yes_no,other
Q03,Was glucose within the normal range (70–180) during the early morning?,yes_no,other
Q04,Did glucose exceed 180 mg/dL around noon?,yes_no,other
Q05,Did glucose rise sharply after a meal event?,yes_no,trend
Q06,Did glucose decrease after an insulin delivery event?,yes_no,trend
Q07,Was there a rapid glucose increase within one hour during the day?,yes_no,trend
Q08,Did glucose gradually decline during the evening?,yes_no,trend
Q09,Was glucose in the hyperglycemia zone for more than one hour?,yes_no,duration
Q10,Was glucose below the hypoglycemia threshold for at least 15 minutes?,yes_no,duration
Q11,Did glucose remain within the normal range for most of the morning?,yes_no,duration
Q12,Was there a prolonged high glucose period during the afternoon?,yes_no,duration
Q13,Was the highest glucose peak higher than the morning peak?,yes_no,comparison
Q14,Was glucose more stable in the morning than in the evening?,yes_no,comparison
Q15,Was the largest spike after lunch larger than the spike after dinner?,yes_no,comparison
Q16,Was glucose higher in the afternoon than in the early morning?,yes_no,comparison
Q17,Did the largest meal event lead to a glucose spike?,yes_no,event
Q18,Did insulin delivery lead to a noticeable glucose drop shortly afterward?,yes_no,event
Q19,Was there a glucose rise shortly after carbohydrate intake?,yes_no,event
Q20,Did any insulin event occur before a glucose decrease?,yes_no,event
Q21,When did the highest glucose value occur?,temporal,event
Q22,Identify the time when glucose first exceeded 180 mg/dL.,temporal,event
Q23,Locate the longest hyperglycemia period in the graph.,temporal,event
Q24,When did the lowest glucose value occur?,temporal,event
Q25,Identify the time when the lowest glucose value occurred.,temporal,event
Q26,Locate the segment where glucose rose most rapidly.,temporal,trend
Q27,Identify the time interval where glucose declined after the largest insulin event.,temporal,trend
Q28,Locate the segment showing the largest upward trend.,temporal,trend
Q29,Identify the longest time interval during 18:00–22:00 where glucose gradually decreased.,temporal,trend
Q30,Identify the time period where glucose dropped below 70 mg/dL.,temporal,trend
Q31,Identify the time interval corresponding to the larger glucose increase between breakfast and dinner.,temporal,event
Q32,Locate the segment where glucose dropped after the largest insulin delivery.,temporal,event
Q33,Identify the glucose response period 30 minutes after the largest carbohydrate intake.,temporal,event
Q34,Locate the time interval where glucose decreased the most within 30 minutes after an insulin event.,temporal,event
Q35,Identify the period where glucose spike follows a meal marker.,temporal,event
Q36,Identify the longest time interval where glucose remained above 180 mg/dL.,temporal,duration
Q37,Locate the segment where glucose remained below 70 mg/dL.,temporal,duration
Q38,Identify the longest period where glucose stayed within the normal range.,temporal,duration
Q39,Locate the interval where glucose remained stable for the longest duration.,temporal,duration
Q40,Identify the longest time interval where glucose continuously increased.,temporal,duration
